second,Volt
-568.4000E-06,-442.5956409E-03
-567.7000E-06,-440.2334497E-03
-567.0000E-06,-436.4553278E-03
-566.3000E-06,-429.5081192E-03
-565.6000E-06,-424.7783072E-03
-564.9000E-06,-422.7430397E-03
-564.2000E-06,-419.7530880E-03
-563.5000E-06,-414.3444605E-03
-562.8000E-06,-409.0180372E-03
-562.1000E-06,-404.3794303E-03
-561.4000E-06,-402.3694712E-03
-560.7000E-06,-400.0670861E-03
-560.0000E-06,-395.5313457E-03
-559.3000E-06,-388.5468239E-03
-558.6000E-06,-384.1594473E-03
-557.9000E-06,-381.9047374E-03
-557.2000E-06,-379.0025992E-03
-556.5000E-06,-373.1543514E-03
-555.8000E-06,-367.4476260E-03
-555.1000E-06,-363.7105427E-03
-554.4000E-06,-361.3138915E-03
-553.7000E-06,-358.1105352E-03
-553.0000E-06,-351.7973900E-03
-552.3000E-06,-346.3078343E-03
-551.6000E-06,-343.1105968E-03
-550.9000E-06,-341.4587193E-03
-550.2000E-06,-338.3805264E-03
-549.5000E-06,-332.1362646E-03
-548.8000E-06,-326.5304098E-03
-548.1000E-06,-323.2425680E-03
-547.4000E-06,-321.3644606E-03
-546.7000E-06,-317.4064833E-03
-546.0000E-06,-311.4078047E-03
-545.3000E-06,-305.7108782E-03
-544.6000E-06,-302.3350398E-03
-543.9000E-06,-299.3352805E-03
-543.2000E-06,-293.4401425E-03
-542.5000E-06,-287.4127392E-03
-541.8000E-06,-283.0759233E-03
-541.1000E-06,-281.3896148E-03
-540.4000E-06,-277.8528575E-03
-539.7000E-06,-270.9459412E-03
-539.0000E-06,-264.9570517E-03
-538.3000E-06,-262.3601627E-03
-537.6000E-06,-261.0598744E-03
-536.9000E-06,-257.8749422E-03
-536.2000E-06,-251.9667580E-03
-535.5000E-06,-245.8928941E-03
-534.8000E-06,-242.5860673E-03
-534.1000E-06,-240.1613676E-03
-533.4000E-06,-236.0184758E-03
-532.7000E-06,-229.2156331E-03
-532.0000E-06,-223.9240779E-03
-531.3000E-06,-221.4962365E-03
-530.6000E-06,-218.1544112E-03
-529.9000E-06,-211.7595507E-03
-529.2000E-06,-205.5126102E-03
-528.5000E-06,-202.0961446E-03
-527.8000E-06,-200.3437874E-03
-527.1000E-06,-196.8349526E-03
-526.4000E-06,-189.9159399E-03
-525.7000E-06,-184.4295636E-03
-525.0000E-06,-181.7286764E-03
-524.3000E-06,-179.4610873E-03
-523.6000E-06,-174.5108552E-03
-522.9000E-06,-167.3753350E-03
-522.2000E-06,-163.0727713E-03
-521.5000E-06,-160.6704978E-03
-520.8000E-06,-157.6484868E-03
-520.1000E-06,-151.8443407E-03
-519.4000E-06,-146.0658551E-03
-518.7000E-06,-142.1275768E-03
-518.0000E-06,-140.1300467E-03
-517.3000E-06,-136.0625006E-03
-516.6000E-06,-130.6814671E-03
-515.9000E-06,-124.1308367E-03
-515.2000E-06,-121.4208290E-03
-514.5000E-06,-118.4900846E-03
-513.8000E-06,-112.9371472E-03
-513.1000E-06,-106.8881911E-03
-512.4000E-06,-102.7931823E-03
-511.7000E-06,-100.6388734E-03
-511.0000E-06,-97.4787186E-03
