x-axis,1,2
second,Volt,Volt
-686.0000E-06,+456.7430850E-03,-4.6806218023E+00
-685.3000E-06,+455.6727312E-03,-4.6725187864E+00
-684.6000E-06,+454.4667012E-03,-4.6681846234E+00
-683.9000E-06,+453.3473552E-03,-4.6648554630E+00
-683.2000E-06,+452.1262496E-03,-4.6618152478E+00
-682.5000E-06,+451.2719758E-03,-4.6553076917E+00
-681.8000E-06,+450.6224816E-03,-4.6441267597E+00
-681.1000E-06,+449.9717260E-03,-4.6307599324E+00
-680.4000E-06,+449.4968538E-03,-4.6159734922E+00
-679.7000E-06,+448.8259946E-03,-4.6048051917E+00
-679.0000E-06,+447.6727316E-03,-4.5934986635E+00
-678.3000E-06,+446.5156894E-03,-4.5889760393E+00
-677.6000E-06,+444.9754786E-03,-4.5850690190E+00
-676.9000E-06,+443.8762427E-03,-4.5830715590E+00
-676.2000E-06,+442.9302611E-03,-4.5776946536E+00
-675.5000E-06,+442.1450857E-03,-4.5676191522E+00
-674.8000E-06,+441.2619264E-03,-4.5537623001E+00
-674.1000E-06,+440.2141900E-03,-4.5362120743E+00
-673.4000E-06,+439.2179402E-03,-4.5225185968E+00
-672.7000E-06,+438.1174451E-03,-4.5123051304E+00
-672.0000E-06,+436.5546275E-03,-4.5063755506E+00
-671.3000E-06,+435.3033858E-03,-4.5022549309E+00
-670.6000E-06,+434.5156844E-03,-4.4981091041E+00
-669.9000E-06,+433.7669501E-03,-4.4876567364E+00
-669.2000E-06,+433.0357837E-03,-4.4715636048E+00
-668.5000E-06,+432.2392989E-03,-4.4549305855E+00
-667.8000E-06,+430.6563836E-03,-4.4389634076E+00
-667.1000E-06,+429.0747208E-03,-4.4301568709E+00
-666.4000E-06,+427.7945712E-03,-4.4246040627E+00
-665.7000E-06,+426.7179498E-03,-4.4205085382E+00
-665.0000E-06,+426.0207133E-03,-4.4112748630E+00
-664.3000E-06,+425.3913138E-03,-4.3958602390E+00
-663.6000E-06,+424.6036180E-03,-4.3764884862E+00
-662.9000E-06,+423.4390422E-03,-4.3599807314E+00
-662.2000E-06,+421.8862437E-03,-4.3491518420E+00
-661.5000E-06,+420.2794831E-03,-4.3424936721E+00
-660.8000E-06,+418.9428116E-03,-4.3357597214E+00
-660.1000E-06,+418.1011077E-03,-4.3253200155E+00
-659.4000E-06,+417.4365371E-03,-4.3098424318E+00
-658.7000E-06,+416.4126646E-03,-4.2916392071E+00
-658.0000E-06,+415.0721777E-03,-4.2769154422E+00
-657.3000E-06,+413.4013192E-03,-4.2696542439E+00
-656.6000E-06,+411.6739608E-03,-4.2635362375E+00
-655.9000E-06,+410.7254981E-03,-4.2570536086E+00
-655.2000E-06,+409.8674361E-03,-4.2463627704E+00
-654.5000E-06,+409.0357741E-03,-4.2287997279E+00
-653.8000E-06,+407.6777074E-03,-4.2083725495E+00
-653.1000E-06,+406.1299576E-03,-4.1953952847E+00
-652.4000E-06,+404.3950520E-03,-4.1852321636E+00
-651.7000E-06,+402.8975430E-03,-4.1785990630E+00
-651.0000E-06,+402.0257318E-03,-4.1661113406E+00
-650.3000E-06,+401.2568800E-03,-4.1476690855E+00
-649.6000E-06,+400.0106117E-03,-4.1276061892E+00
-648.9000E-06,+398.4415188E-03,-4.1126439797E+00
-648.2000E-06,+396.6487889E-03,-4.1043277693E+00
-647.5000E-06,+395.0219536E-03,-4.0994030674E+00
-646.8000E-06,+394.1098967E-03,-4.0896414425E+00
-646.1000E-06,+393.1337536E-03,-4.0735987209E+00
-645.4000E-06,+392.0621327E-03,-4.0533350162E+00
-644.7000E-06,+390.4490749E-03,-4.0356590478E+00
-644.0000E-06,+388.5395180E-03,-4.0255964795E+00
-643.3000E-06,+387.0910205E-03,-4.0211618885E+00
-642.6000E-06,+386.0860337E-03,-4.0141266671E+00
-641.9000E-06,+385.4013512E-03,-3.9994655948E+00
-641.2000E-06,+384.3736991E-03,-3.9780457653E+00
-640.5000E-06,+383.0495368E-03,-3.9558094373E+00
-639.8000E-06,+381.0344788E-03,-3.9462494479E+00
-639.1000E-06,+379.3045595E-03,-3.9390763088E+00
-638.4000E-06,+378.0583605E-03,-3.9301312470E+00
-637.7000E-06,+377.2292576E-03,-3.9112993863E+00
-637.0000E-06,+375.8384754E-03,-3.8893515985E+00
-636.3000E-06,+374.0847651E-03,-3.8697923236E+00
-635.6000E-06,+372.1060862E-03,-3.8627322697E+00
-634.9000E-06,+370.8360053E-03,-3.8577699057E+00
-634.2000E-06,+369.8183960E-03,-3.8494157361E+00
-633.5000E-06,+369.2870406E-03,-3.8290506258E+00
-632.8000E-06,+368.1814489E-03,-3.8055700234E+00
-632.1000E-06,+366.3409956E-03,-3.7894157886E+00
-631.4000E-06,+364.3950256E-03,-3.7815764288E+00
-630.7000E-06,+362.6953036E-03,-3.7765008287E+00
-630.0000E-06,+361.5420536E-03,-3.7639748585E+00
-629.3000E-06,+360.4829910E-03,-3.7412110245E+00
-628.6000E-06,+358.8120731E-03,-3.7194148713E+00
-627.9000E-06,+356.7706029E-03,-3.7045660787E+00
-627.2000E-06,+354.9792029E-03,-3.6981716597E+00
-626.5000E-06,+353.8222086E-03,-3.6869028108E+00
-625.8000E-06,+353.0194145E-03,-3.6648167176E+00
-625.1000E-06,+351.6626117E-03,-3.6410732301E+00
-624.4000E-06,+349.7166064E-03,-3.6242766768E+00
-623.7000E-06,+347.4390107E-03,-3.6152317514E+00
-623.0000E-06,+345.9075527E-03,-3.6006585659E+00
-622.3000E-06,+344.5796621E-03,-3.5746285958E+00
